split,task_type,slot,value,count
test,count_within_radius,category,بنك,1
test,count_within_radius,category,جامعة,3
test,count_within_radius,category,صيدلية,11
test,count_within_radius,category,عيادة,4
test,count_within_radius,category,كلية,2
test,count_within_radius,category,محطة وقود,7
test,count_within_radius,category,مدرسة,15
test,count_within_radius,category,مستشفى,12
test,count_within_radius,category,مطعم,18
test,count_within_radius,category,مقهى,16
test,count_within_radius,radius_text,1.5,88
test,count_within_radius,radius_text,5,1
test,nearest_category,category,بنك,70
test,nearest_category,category,جامعة,58
test,nearest_category,category,صيدلية,70
test,nearest_category,category,عيادة,66
test,nearest_category,category,كلية,47
test,nearest_category,category,محطة وقود,126
test,nearest_category,category,مدرسة,73
test,nearest_category,category,مستشفى,81
test,nearest_category,category,مطعم,83
test,nearest_category,category,مقهى,85
test,nearest_of_two_categories,category1,بنك,17
test,nearest_of_two_categories,category1,جامعة,12
test,nearest_of_two_categories,category1,صيدلية,18
test,nearest_of_two_categories,category1,عيادة,10
test,nearest_of_two_categories,category1,كلية,4
test,nearest_of_two_categories,category1,محطة وقود,30
test,nearest_of_two_categories,category1,مدرسة,18
test,nearest_of_two_categories,category1,مستشفى,23
test,nearest_of_two_categories,category1,مطعم,27
test,nearest_of_two_categories,category1,مقهى,27
test,nearest_of_two_categories,category2,بنك,26
test,nearest_of_two_categories,category2,جامعة,8
test,nearest_of_two_categories,category2,صيدلية,19
test,nearest_of_two_categories,category2,عيادة,15
test,nearest_of_two_categories,category2,كلية,7
test,nearest_of_two_categories,category2,محطة وقود,36
test,nearest_of_two_categories,category2,مدرسة,18
test,nearest_of_two_categories,category2,مستشفى,15
test,nearest_of_two_categories,category2,مطعم,19
test,nearest_of_two_categories,category2,مقهى,23
test,spatial_multi_constraint,category,بنك,12
test,spatial_multi_constraint,category,جامعة,6
test,spatial_multi_constraint,category,صيدلية,31
test,spatial_multi_constraint,category,عيادة,20
test,spatial_multi_constraint,category,كلية,6
test,spatial_multi_constraint,category,محطة وقود,26
test,spatial_multi_constraint,category,مدرسة,8
test,spatial_multi_constraint,category,مستشفى,17
test,spatial_multi_constraint,category,مطعم,25
test,spatial_multi_constraint,category,مقهى,22
test,spatial_multi_constraint,direction,جنوب,39
test,spatial_multi_constraint,direction,شرق,45
test,spatial_multi_constraint,direction,شمال,54
test,spatial_multi_constraint,direction,غرب,35
test,spatial_multi_constraint,radius_text,3,68
test,spatial_multi_constraint,radius_text,5,52
test,spatial_multi_constraint,radius_text,8,53
test,two_hop_nearest,category1,بنك,11
test,two_hop_nearest,category1,جامعة,3
test,two_hop_nearest,category1,صيدلية,21
test,two_hop_nearest,category1,عيادة,9
test,two_hop_nearest,category1,كلية,4
test,two_hop_nearest,category1,محطة وقود,46
test,two_hop_nearest,category1,مدرسة,24
test,two_hop_nearest,category1,مستشفى,28
test,two_hop_nearest,category1,مطعم,22
test,two_hop_nearest,category1,مقهى,20
test,two_hop_nearest,category2,بنك,16
test,two_hop_nearest,category2,جامعة,5
test,two_hop_nearest,category2,صيدلية,30
test,two_hop_nearest,category2,عيادة,12
test,two_hop_nearest,category2,كلية,7
test,two_hop_nearest,category2,محطة وقود,33
test,two_hop_nearest,category2,مدرسة,8
test,two_hop_nearest,category2,مستشفى,22
test,two_hop_nearest,category2,مطعم,31
test,two_hop_nearest,category2,مقهى,24
test,within_radius_yes_no,category,جامعة,8
test,within_radius_yes_no,category,صيدلية,9
test,within_radius_yes_no,category,عيادة,39
test,within_radius_yes_no,category,كلية,7
test,within_radius_yes_no,category,محطة وقود,46
test,within_radius_yes_no,category,مدرسة,13
test,within_radius_yes_no,category,مستشفى,144
test,within_radius_yes_no,category,مطعم,8
test,within_radius_yes_no,category,مقهى,2
test,within_radius_yes_no,radius_text,1,82
test,within_radius_yes_no,radius_text,2,59
test,within_radius_yes_no,radius_text,3,55
test,within_radius_yes_no,radius_text,5,80
train,count_within_radius,category,بنك,39
train,count_within_radius,category,جامعة,19
train,count_within_radius,category,صيدلية,67
