split,task_type,slot_masked_pattern,count
test,cardinal_direction,في أي اتجاه يقع <NAME> بالنسبة إلى <NAME>؟,397
test,closer_of_two,أي الموقعين أقرب إلى <NAME>: <NAME> أم <NAME>؟,264
test,count_within_radius,كم عدد المعالم من نوع <NAME> الواقعة ضمن مسافة <NUM> كم تقريبًا من <NAME> وفق الإحداثيات المتاحة؟,89
test,nearest_category,ما أقرب بنك إلى <NAME> من بين المعالم الواردة في السياق؟,70
test,nearest_category,ما أقرب جامعة إلى <NAME> من بين المعالم الواردة في السياق؟,58
test,nearest_category,ما أقرب صيدلية إلى <NAME> من بين المعالم الواردة في السياق؟,70
test,nearest_category,ما أقرب عيادة إلى <NAME> من بين المعالم الواردة في السياق؟,66
test,nearest_category,ما أقرب كلية إلى <NAME> من بين المعالم الواردة في السياق؟,47
test,nearest_category,ما أقرب محطة وقود إلى <NAME> من بين المعالم الواردة في السياق؟,126
test,nearest_category,ما أقرب مدرسة إلى <NAME> من بين المعالم الواردة في السياق؟,73
test,nearest_category,ما أقرب مستشفى إلى <NAME> من بين المعالم الواردة في السياق؟,81
test,nearest_category,ما أقرب مطعم إلى <NAME> من بين المعالم الواردة في السياق؟,83
test,nearest_category,ما أقرب مقهى إلى <NAME> من بين المعالم الواردة في السياق؟,85
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب بنك أم أقرب صيدلية؟ اذكر اسم المعلم الأقرب.,4
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب بنك أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,7
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب بنك أم أقرب مدرسة؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب بنك أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب بنك أم أقرب مقهى؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب جامعة أم أقرب صيدلية؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب جامعة أم أقرب عيادة؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب جامعة أم أقرب كلية؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب جامعة أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,4
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب جامعة أم أقرب مدرسة؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب جامعة أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب صيدلية أم أقرب بنك؟ اذكر اسم المعلم الأقرب.,5
