issue,split,task_type,affected_records,remedy_class,exact_rule,raw_untouched
answer_edge_whitespace,train,nearest_category,27,B,Retain raw target and define a separately documented comparison key; never silently rewrite raw labels.,True
answer_edge_whitespace,train,nearest_of_two_categories,12,B,Retain raw target and define a separately documented comparison key; never silently rewrite raw labels.,True
answer_edge_whitespace,train,spatial_multi_constraint,2,B,Retain raw target and define a separately documented comparison key; never silently rewrite raw labels.,True
answer_edge_whitespace,train,two_hop_nearest,4,B,Retain raw target and define a separately documented comparison key; never silently rewrite raw labels.,True
answer_edge_whitespace,validation,nearest_category,3,B,Retain raw target and define a separately documented comparison key; never silently rewrite raw labels.,True
answer_edge_whitespace,validation,nearest_of_two_categories,2,B,Retain raw target and define a separately documented comparison key; never silently rewrite raw labels.,True
answer_position_mismatch,train,closer_of_two,4,F,"Re-derive comparison-position target from the two quoted alternatives on TRAIN only, after review.",True
article_chars_mismatch,train,cardinal_direction,6,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,train,closer_of_two,4,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,train,count_within_radius,1,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,train,nearest_category,13,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,train,nearest_of_two_categories,4,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,train,spatial_multi_constraint,2,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,train,two_hop_nearest,4,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,train,within_radius_yes_no,4,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,cardinal_direction,3,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,closer_of_two,2,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,count_within_radius,2,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,nearest_category,9,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,nearest_of_two_categories,2,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,spatial_multi_constraint,2,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,two_hop_nearest,2,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
article_chars_mismatch,validation,within_radius_yes_no,2,B,Treat trim-based article lengths as derived measurements; retain stored construction count.,True
