challenge_id,status,reason,independent_human_review
core-nearest_category-01,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-02,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-03,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-05,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-06,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-08,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-09,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-11,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-13,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-15,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-17,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-18,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-20,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-21,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-23,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-25,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-27,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-29,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-30,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-32,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-33,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-35,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-37,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-39,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-04,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-07,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-10,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-12,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-14,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-16,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-19,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-22,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-24,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-26,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-28,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-31,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-34,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-36,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-38,accepted,All eight semantic checks pass; author wording review,False
core-nearest_category-40,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-01,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-02,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-03,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-05,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-06,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-08,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-09,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-11,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-13,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-15,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-17,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-18,accepted,All eight semantic checks pass; author wording review,False
core-cardinal_direction-20,accepted,All eight semantic checks pass; author wording review,False
