challenge_id,intent_kind,status,reason,selected_ids,expected_contract_agrees,evaluation_mode
extension-001,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-002,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-003,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-004,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-005,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-006,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-007,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-008,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-009,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-010,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-011,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-012,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-013,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-014,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-015,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-016,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-017,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-018,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-019,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-020,underspecified_best,needs_clarification,define_best_with_measurable_objective,,True,oracle_intent_contract_only_not_language_accuracy
extension-021,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-022,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
