field,split,task_type,state,count
anchor_latitude,test,cardinal_direction,nonnull,397
anchor_latitude,test,closer_of_two,nonnull,264
anchor_latitude,test,count_within_radius,nonnull,89
anchor_latitude,test,nearest_category,nonnull,759
anchor_latitude,test,nearest_of_two_categories,nonnull,186
anchor_latitude,test,spatial_multi_constraint,nonnull,173
anchor_latitude,test,two_hop_nearest,nonnull,188
anchor_latitude,test,within_radius_yes_no,nonnull,276
anchor_latitude,train,cardinal_direction,nonnull,3267
anchor_latitude,train,closer_of_two,nonnull,2167
anchor_latitude,train,count_within_radius,nonnull,701
anchor_latitude,train,nearest_category,nonnull,6588
anchor_latitude,train,nearest_of_two_categories,nonnull,1591
anchor_latitude,train,spatial_multi_constraint,nonnull,1478
anchor_latitude,train,two_hop_nearest,nonnull,1603
anchor_latitude,train,within_radius_yes_no,nonnull,2202
anchor_latitude,validation,cardinal_direction,nonnull,409
anchor_latitude,validation,closer_of_two,nonnull,283
anchor_latitude,validation,count_within_radius,nonnull,97
anchor_latitude,validation,nearest_category,nonnull,827
anchor_latitude,validation,nearest_of_two_categories,nonnull,205
anchor_latitude,validation,spatial_multi_constraint,nonnull,191
anchor_latitude,validation,two_hop_nearest,nonnull,210
anchor_latitude,validation,within_radius_yes_no,nonnull,280
anchor_longitude,test,cardinal_direction,nonnull,397
anchor_longitude,test,closer_of_two,nonnull,264
anchor_longitude,test,count_within_radius,nonnull,89
anchor_longitude,test,nearest_category,nonnull,759
anchor_longitude,test,nearest_of_two_categories,nonnull,186
anchor_longitude,test,spatial_multi_constraint,nonnull,173
anchor_longitude,test,two_hop_nearest,nonnull,188
anchor_longitude,test,within_radius_yes_no,nonnull,276
anchor_longitude,train,cardinal_direction,nonnull,3267
anchor_longitude,train,closer_of_two,nonnull,2167
anchor_longitude,train,count_within_radius,nonnull,701
anchor_longitude,train,nearest_category,nonnull,6588
anchor_longitude,train,nearest_of_two_categories,nonnull,1591
anchor_longitude,train,spatial_multi_constraint,nonnull,1478
anchor_longitude,train,two_hop_nearest,nonnull,1603
anchor_longitude,train,within_radius_yes_no,nonnull,2202
anchor_longitude,validation,cardinal_direction,nonnull,409
anchor_longitude,validation,closer_of_two,nonnull,283
anchor_longitude,validation,count_within_radius,nonnull,97
anchor_longitude,validation,nearest_category,nonnull,827
